Date,Bank Rate
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,11
1975,12
1975,12
1975,12
1975,12
1975,12
1975,12
1975,12
1975,12
1975,12
1975,12
1975,12
1975,12
1975,12
1975,12
1975,12
1975,12
1975,12
1975,12
1975,12
1975,12
1975,12
1975,12
1975,12
1975,12
1975,12
1975,12
1975,12
1975,12
1975,12
1975,12
1975,12
1975,12
1975,12
1975,12
1975,12
1975,12
1975,12
1975,12
1975,12
1975,12
1975,12
1975,12
1975,11.75
1975,11.75
1975,11.75
1975,11.75
1975,11.75
1975,11.75
1975,11.75
1975,11.75
1975,11.75
1975,11.75
1975,11.75
1975,11.75
1975,11.75
1975,11.75
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.5
1975,11.25
1975,11.25
1975,11.25
1976,11.25
1976,11.25
1976,11.25
1976,11.25
1976,11
1976,11
1976,11
1976,11
1976,11
1976,11
1976,11
1976,11
1976,11
1976,11
1976,11
1976,11
1976,11
1976,11
1976,10.75
1976,10.75
1976,10.75
1976,10.75
1976,10.75
1976,10.75
1976,10.75
1976,10.5
1976,10.5
1976,10.5
1976,10.5
1976,10.5
1976,10.5
1976,10.5
1976,10
1976,10
1976,10
1976,10
1976,10
1976,10
1976,10
1976,9.5
1976,9.5
1976,9.5
1976,9.5
1976,9.5
1976,9.5
1976,9.5
1976,9.5
1976,9.5
1976,9.5
1976,9.5
1976,9.5
1976,9.5
1976,9.5
1976,9.5
1976,9.5
1976,9.5
1976,9.5
1976,9.5
1976,9.5
1976,9.5
1976,9.25
1976,9.25
1976,9.25
1976,9.25
1976,9.25
1976,9.25
1976,9.25
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,9
1976,10.5
1976,10.5
1976,10.5
1976,10.5
1976,10.5
1976,10.5
1976,10.5
1976,10.5
1976,10.5
1976,10.5
1976,10.5
1976,10.5
1976,10.5
1976,10.5
1976,10.5
1976,10.5
1976,10.5
1976,10.5
1976,10.5
1976,10.5
1976,10.5
1976,10.5
1976,10.5
1976,10.5
1976,10.5
1976,10.5
1976,10.5
1976,10.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,11.5
1976,13
1976,13
1976,13
1976,13
1976,13
1976,13
1976,13
1976,13
1976,13
1976,13
1976,13
1976,13
1976,13
1976,13
1976,13
1976,13
1976,13
1976,13
1976,13
1976,13
1976,13
1976,13
1976,13
1976,13
1976,15
1976,15
1976,15
1976,15
