"MYE4: Population estimates: Summary for the UK, mid-2001 to mid-2020",,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table. Freeze panes are turned on. ,,,,,,,,,,,,,,,,,,,,,,
"To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F]",,,,,,,,,,,,,,,,,,,,,,
Please choose from the links presented in the cells below to e-mail us your opinion on this table: ,,,,,,,,,,,,,,,,,,,,,,
"This met my needs, please produce it next year",,,,,,,,,,,,,,,,,,,,,,
I need something slightly different (please specify),,,,,,,,,,,,,,,,,,,,,,
This is not what I need at all (please specify),,,,,,,,,,,,,,,,,,,,,,
Code,Name,Geography,Mid-2020,Mid-2019,Mid-2018,Mid-2017,Mid-2016,Mid-2015,Mid-2014,Mid-2013,Mid-2012,Mid-2011,Mid-2010,Mid-2009,Mid-2008,Mid-2007, Mid-2006,Mid-2005,Mid-2004,Mid-2003,Mid-2002,Mid-2001
E10000023,North Yorkshire,County,620610,618054,614505,611633,609538,606017,604730,604724,603508,601206,599028,596396,594979,591247,587299,584001,579959,576130,573186,570094
E07000163,Craven,Non-metropolitan District,57338,57142,56832,56604,56343,55826,55750,55594,55492,55459,55398,55326,55586,55395,55086,54888,54412,54060,53770,53706
E07000164,Hambleton,Non-metropolitan District,91932,91594,91134,90718,90591,90074,89915,89997,89794,89602,89096,88645,88482,87748,86995,85972,85598,85336,84844,84168
E07000165,Harrogate,Non-metropolitan District,161545,160831,160533,160044,159768,159916,159631,159679,159396,158683,157531,156511,155843,155068,154270,153673,152518,151821,151549,151467
E07000166,Richmondshire,Non-metropolitan District,53732,53730,53244,53699,53876,52565,52812,53897,53808,53287,52877,52440,52125,51626,51003,50351,49399,48465,47798,47067
E07000167,Ryedale,Non-metropolitan District,55629,55380,54920,54311,53861,53332,52848,52334,52157,51893,51949,52157,52100,52078,51851,51948,51613,51196,50847,50910
E07000168,Scarborough,Non-metropolitan District,108737,108757,108736,108370,108157,108089,108152,108330,108662,108735,109014,108943,109015,108813,108728,108753,108548,107862,107246,106221
E07000169,Selby,Non-metropolitan District,91697,90620,89106,87887,86942,86215,85622,84893,84199,83547,83163,82374,81828,80519,79366,78416,77871,77390,77132,76555
E11000003,South Yorkshire (Met County),Metropolitan County,1415054,1409020,1402918,1393445,1385413,1375457,1366088,1358520,1352382,1343805,1332871,1323855,1315448,1306289,1299676,1293188,1283439,1276501,1271309,1266475
E08000016,Barnsley,Metropolitan District,248071,246866,245199,243341,241847,239855,237971,235811,233762,231865,230066,228973,227754,225989,224419,222618,221227,220165,218851,218124
E08000017,Doncaster,Metropolitan District,312785,311890,310542,308940,307374,305496,304398,303693,302920,302468,301299,300184,298388,296215,293990,292174,290850,290111,288647,286900
E08000018,Rotherham,Metropolitan District,264984,265411,264671,263375,262142,260929,260256,258817,258424,257716,256893,256313,255271,254180,253638,252675,251722,250886,249610,248349
E08000019,Sheffield,Metropolitan District,589214,584853,582506,577789,574050,569177,563463,560199,557276,551756,544613,538385,534035,529905,527629,525721,519640,515339,514201,513102
E11000006,West Yorkshire (Met County),Metropolitan County,2345235,2332469,2320214,2307035,2295025,2277796,2261757,2250644,2240388,2227371,2212556,2197607,2185043,2168816,2154207,2142174,2118239,2102681,2093189,2083101
